Tanggal,Unit Layanan Medis,Diagnosis Primer,Code,Kecamatan,total_pasien,block_code,cluster,jumlah_pasien_wilayah_scaled_scaled,Lat,Long,Bulan,Nama_Bulan,Tahun
2024-01-01,Mata,"Chorioretinal inflammation, unspecified",H30.9,Padaherang,578,choroid and retina,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,"Chorioretinal inflammation, unspecified",H30.9,Pangandaran,1105,choroid and retina,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Cimerak,544,lens,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Corneal ulcer,H16.0,Sidamulih,556,"sclera, cornea, iris and ciliary body",0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Parigi,862,lens,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Cimerak,544,lens,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Conjunctivitis,H10,Parigi,862,conjunctiva,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Pangandaran,1105,lens,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Mangunjaya,230,lens,2,-1.624789478,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,Corneal ulcer,H16.0,Parigi,862,"sclera, cornea, iris and ciliary body",3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Cimerak,544,lens,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Primary open-angle glaucoma,H40.1,Mangunjaya,230,Glaucoma,2,-1.624789478,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Padaherang,578,conjunctiva,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Cijulang,343,conjunctiva,2,-1.22044966,-7.727417462,108.4725217,1,Januari,2024
2024-01-01,Mata,Chalazion,H00.1,Pangandaran,1105,"eyelid, lacrimal system and orbit",1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cigugur,253,Presence of other functional implants,2,-1.542490223,-7.683333,108.65,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Langkaplancar,299,lens,2,-1.377891713,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Conjunctivitis,H10,Kalipucang,733,conjunctiva,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Aphakia,H27.0,Cimerak,544,lens,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Cimerak,544,conjunctiva,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Pangandaran,1105,Presence of other functional implants,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Sidamulih,556,lens,0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Chalazion,H00.1,Langkaplancar,299,"eyelid, lacrimal system and orbit",2,-1.377891713,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,"Papilloedema, unspecified",H47.1,Pangandaran,1105,optic nerve and visual pathways,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Conjunctival haemorrhage,H11.3,Cimerak,544,conjunctiva,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Aphakia,H27.0,Padaherang,578,lens,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Padaherang,578,lens,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Colour vision deficiencies,H53.5,Parigi,862,Visual disturbances and blindness,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,"Disorder of refraction, unspecified",H52.7,Kalipucang,733,"ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Other visual disturbances,H53.8,Pangandaran,1105,Visual disturbances and blindness,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Pangandaran,1105,lens,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Glaucoma,H40,Pangandaran,1105,Glaucoma,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Pangandaran,1105,conjunctiva,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Myopia,H52.1,Sidamulih,556,"ocular muscles, binocular movement, accommodation and refraction",0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Myopia,H52.1,Sidamulih,556,"ocular muscles, binocular movement, accommodation and refraction",0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Aphakia,H27.0,Kalipucang,733,lens,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Padaherang,578,conjunctiva,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,"Disorder of lacrimal system, unspecified",H04.9,Parigi,862,"eyelid, lacrimal system and orbit",3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Subjective visual disturbances,H53.1,Parigi,862,Visual disturbances and blindness,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Padaherang,578,Presence of other functional implants,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Sidamulih,556,lens,0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Parigi,862,lens,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Kalipucang,733,lens,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,With ophthalmic complications,E11.3,Cijulang,343,Other,2,-1.22044966,-7.727417462,108.4725217,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Other vitreous opacities,H43.3,Sidamulih,556,vitreous body and globe,0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Other disorders of cornea,H18,Langkaplancar,299,"sclera, cornea, iris and ciliary body",2,-1.377891713,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,"Disorder of eyelid, unspecified",H02.9,Sidamulih,556,"eyelid, lacrimal system and orbit",0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Presbyopia,H52.4,Parigi,862,"ocular muscles, binocular movement, accommodation and refraction",3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Presbyopia,H52.4,Cigugur,253,"ocular muscles, binocular movement, accommodation and refraction",2,-1.542490223,-7.683333,108.65,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Pangandaran,1105,Presence of other functional implants,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Iridocyclitis in infectious and parasitic diseases classified elsewhere,H22.0,Kalipucang,733,"sclera, cornea, iris and ciliary body",3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Kalipucang,733,lens,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Corneal ulcer,H16.0,Kalipucang,733,"sclera, cornea, iris and ciliary body",3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Conjunctivitis,H10,Sidamulih,556,conjunctiva,0,-0.458286993,-7.642151948,108.6062757,1,Januari,2024
2024-01-01,Mata,Presbyopia,H52.4,Cigugur,253,"ocular muscles, binocular movement, accommodation and refraction",2,-1.542490223,-7.683333,108.65,1,Januari,2024
2024-01-01,Mata,Conjunctival haemorrhage,H11.3,Padaherang,578,conjunctiva,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Kalipucang,733,lens,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Parigi,862,conjunctiva,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Pangandaran,1105,Presence of other functional implants,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Optic neuritis,H46,Parigi,862,optic nerve and visual pathways,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Blepharitis,H01.0,Cimerak,544,"eyelid, lacrimal system and orbit",0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Conjunctivitis,H10,Pangandaran,1105,conjunctiva,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Pangandaran,1105,Presence of other functional implants,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Kalipucang,733,lens,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cijulang,343,Presence of other functional implants,2,-1.22044966,-7.727417462,108.4725217,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Cijulang,343,lens,2,-1.22044966,-7.727417462,108.4725217,1,Januari,2024
2024-01-01,Mata,Corneal ulcer,H16.0,Langkaplancar,299,"sclera, cornea, iris and ciliary body",2,-1.377891713,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,"Stroke, not specified as haemorrhage or infarction",I64,Langkaplancar,299,Other,2,-1.377891713,-7.486361775,108.694796,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Foreign body on external eye,T15,Kalipucang,733,Other,3,0.175059448,-7.646028349,108.6953381,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Pangandaran,1105,conjunctiva,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Padaherang,578,Presence of other functional implants,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Cimerak,544,conjunctiva,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cijulang,343,Presence of other functional implants,2,-1.22044966,-7.727417462,108.4725217,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,"Disorder of refraction, unspecified",H52.7,Padaherang,578,"ocular muscles, binocular movement, accommodation and refraction",0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,"Disorder of eyelid, unspecified",H02.9,Pangandaran,1105,"eyelid, lacrimal system and orbit",1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Retinal detachment with retinal break,H33.0,Pangandaran,1105,choroid and retina,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Padaherang,578,lens,0,-0.379565967,-7.549917432,108.4216188,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Pterygium,H11.0,Cimerak,544,conjunctiva,0,-0.501225735,-7.75108096,108.4391362,1,Januari,2024
2024-01-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654,1,Januari,2024
2024-01-01,Mata,Senile cataract,H25,Pangandaran,1105,lens,1,1.506160443,-7.683333,108.7526647,1,Januari,2024
